Frame,Raw_Elbow_Interior,Smoothed_Elbow_Interior,Flexion,HSS,Shoulder_Alignment,Trunk_Lat_Flex,Front_Knee_Flexion
134,110.73,118.06,61.94,6.31,68.16,3.23,88.53
135,120.62,119.26,60.74,6.71,67.01,3.68,96.02
136,130.26,120.88,59.12,7.49,65.59,4.11,102.28
137,133.15,122.8,57.2,8.62,63.94,4.5,107.06
138,161.53,124.92,55.08,10.04,62.09,4.84,110.18
139,144.24,127.14,52.86,11.66,60.11,5.11,111.53
140,136.12,129.41,50.59,13.35,58.08,5.31,111.05
141,124.08,131.67,48.33,15.02,56.11,5.43,108.78
142,125.38,133.93,46.07,16.53,54.3,5.46,104.81
143,133.28,136.19,43.81,17.8,52.78,5.41,99.3
144,126.72,138.44,41.56,18.75,51.67,5.27,92.48
145,131.89,140.72,39.28,19.32,51.07,5.05,84.62
146,138.1,142.99,37.01,19.47,51.07,4.77,76.02
147,137.92,145.24,34.76,19.2,51.74,4.43,67.03
148,148.4,147.42,32.58,18.55,53.1,4.03,57.98
149,148.02,149.47,30.53,17.54,55.14,3.61,49.19
150,146.95,151.31,28.69,16.23,57.8,3.17,40.94
151,151.74,152.89,27.11,14.7,60.98,2.72,33.48
152,164.21,154.14,25.86,13.03,64.52,2.29,26.97
153,171.86,155.02,24.98,11.28,68.23,1.89,21.52
154,170.59,155.53,24.47,9.52,71.9,1.54,17.17
155,160.55,155.68,24.32,7.83,75.29,1.24,13.87
156,153.99,155.54,24.46,6.25,78.16,1.02,11.55
157,150.46,155.15,24.85,4.83,80.29,0.89,10.07
158,150.43,154.61,25.39,3.61,81.51,0.85,9.3
159,146.82,154.0,26.0,2.62,81.67,0.92,9.08
160,136.45,153.37,26.63,1.87,80.7,1.08,9.26
161,138.53,152.8,27.2,1.38,78.59,1.35,9.72
162,149.24,152.32,27.68,1.16,75.37,1.72,10.35
163,158.34,151.93,28.07,1.19,71.13,2.18,11.06
164,158.72,151.65,28.35,1.48,66.04,2.72,11.82
165,163.06,151.47,28.53,2.01,60.26,3.31,12.56
166,163.98,151.39,28.61,2.76,54.0,3.94,13.27
167,163.5,151.41,28.59,3.71,47.51,4.59,13.93
168,161.93,151.52,28.48,4.84,41.0,5.24,14.53
169,96.51,151.75,28.25,6.13,34.72,5.86,15.04
170,162.33,152.1,27.9,7.56,28.92,6.44,15.45
171,162.23,152.58,27.42,9.11,23.79,6.95,15.74
172,166.27,153.19,26.81,10.75,19.55,7.38,15.89
173,161.33,153.93,26.07,12.48,16.36,7.73,15.88
174,150.44,154.78,25.22,14.27,14.34,7.98,15.69
175,147.15,155.71,24.29,16.1,13.56,8.14,15.32
176,142.44,156.67,23.33,17.96,14.05,8.2,14.77
177,144.39,157.6,22.4,19.81,15.76,8.18,14.07
178,162.4,158.41,21.59,21.63,18.6,8.08,13.23
179,168.77,159.02,20.98,23.38,22.41,7.91,12.32
180,151.16,159.35,20.65,25.03,26.99,7.68,11.38
181,158.7,159.33,20.67,26.52,32.14,7.39,10.47
182,164.39,158.91,21.09,27.8,37.61,7.05,9.65
183,166.66,158.06,21.94,28.82,43.18,6.67,8.97
184,174.88,156.8,23.2,29.51,48.63,6.26,8.48
185,173.89,155.18,24.82,29.81,53.79,5.81,8.21
186,161.42,153.26,26.74,29.67,58.51,5.33,8.18
187,132.83,151.15,28.85,29.05,62.67,4.83,8.38
188,127.88,148.96,31.04,27.93,66.21,4.32,8.79
189,131.9,146.78,33.22,26.31,69.12,3.8,9.4
190,145.8,144.71,35.29,24.24,71.41,3.27,10.17
191,143.92,142.79,37.21,21.76,73.14,2.75,11.05
192,136.85,141.08,38.92,18.96,74.38,2.23,12.01
193,140.34,139.58,40.42,15.95,75.26,1.72,13.0
194,139.69,138.28,41.72,12.86,75.87,1.23,13.99
