Frame,Raw_Elbow_Interior,Smoothed_Elbow_Interior,Flexion,HSS,Shoulder_Alignment,Trunk_Lat_Flex,Front_Knee_Flexion
96,93.22,93.58,86.42,17.55,20.39,11.15,42.06
98,91.17,94.99,85.01,19.11,17.18,10.89,36.51
101,93.9,96.2,83.8,20.52,14.1,10.65,31.28
102,96.85,97.14,82.86,21.69,11.33,10.41,26.57
103,104.15,97.78,82.22,22.55,9.05,10.18,22.53
104,109.59,98.14,81.86,23.04,7.42,9.94,19.27
105,107.83,98.25,81.75,23.15,6.56,9.7,16.81
106,102.96,98.2,81.8,22.89,6.58,9.45,15.11
107,98.56,98.09,81.91,22.28,7.53,9.18,14.08
108,96.66,98.07,81.93,21.39,9.43,8.88,13.56
109,97.25,98.27,81.73,20.3,12.23,8.55,13.38
110,99.62,98.81,81.19,19.11,15.84,8.17,13.37
111,94.12,99.79,80.21,17.91,20.14,7.74,13.34
112,93.19,101.28,78.72,16.78,24.97,7.26,13.18
113,100.13,103.28,76.72,15.81,30.13,6.73,12.8
114,92.72,105.74,74.26,15.04,35.43,6.14,12.16
117,95.29,108.56,71.44,14.49,40.68,5.51,11.3
118,104.7,111.58,68.42,14.16,45.71,4.85,10.34
119,112.82,114.63,65.37,14.01,50.37,4.18,9.42
120,122.69,117.5,62.5,13.97,54.56,3.52,8.76
121,127.94,120.0,60.0,13.97,58.21,2.89,8.56
122,129.02,121.97,58.03,13.93,61.3,2.32,9.07
123,136.81,123.29,56.71,13.79,63.83,1.84,10.49
124,136.23,123.93,56.07,13.48,65.85,1.45,13.0
125,133.24,123.89,56.11,12.98,67.41,1.18,16.72
126,136.65,123.27,56.73,12.27,68.57,1.03,21.68
127,125.18,122.21,57.79,11.38,69.39,1.0,27.88
128,119.91,120.91,59.09,10.36,69.92,1.08,35.19
129,116.6,119.57,60.43,9.29,70.21,1.28,43.43
130,115.0,118.39,61.61,8.26,70.26,1.56,52.35
131,85.92,117.55,62.45,7.36,70.09,1.92,61.66
132,95.73,117.18,62.82,6.68,69.7,2.33,71.02
133,101.99,117.35,62.65,6.32,69.06,2.77,80.09
