Frame,Raw_Elbow_Interior,Smoothed_Elbow_Interior,Flexion,HSS,Shoulder_Alignment,Trunk_Lat_Flex,Front_Knee_Flexion
263,171.92,165.08,14.92,19.14,58.35,15.11,7.39
264,172.28,165.29,14.71,19.94,60.5,14.8,6.85
265,165.79,164.65,15.35,21.02,62.31,14.52,6.38
266,148.51,163.03,16.97,22.39,63.9,14.29,6.0
267,159.1,160.36,19.64,24.02,65.44,14.14,5.69
268,152.25,156.61,23.39,25.89,67.07,14.06,5.46
269,168.98,151.85,28.15,27.95,68.91,14.06,5.3
270,162.6,146.19,33.81,30.15,71.05,14.13,5.19
271,166.79,139.82,40.18,32.43,73.5,14.28,5.13
272,123.98,132.97,47.03,34.73,76.23,14.47,5.1
273,125.42,125.91,54.09,37.0,79.15,14.7,5.1
